comp,func,id
unclassified,import thermal,364
cover,import thermal,364
cover,import thermal,364
divider,import thermal,364
shaft,import thermal,364
electric insulator,import thermal,364
electric wire,import thermal,364
unclassified,import thermal,364
housing,import thermal,364
material filter,import thermal,364
nut-bolt,import thermal,364
key,import thermal,364
reservoir,import thermal,364
rotational coupler,import thermal,364
electric socket,import thermal,364
spring,import thermal,364
support,import thermal,364
tube,import thermal,364
wheel,import thermal,364
cover,regulate liquid,364
support,regulate liquid,364
bracket,regulate mechanical,364
support,regulate mechanical,364
cover,stop gas,364
tube,stop gas,364
cap,stop liquid,364
cover,stop liquid,364
fastener,stop liquid,364
clamp,stop liquid,364
guiders,stop liquid,364
hinge,stop liquid,364
transistor,stop liquid,364
nut-bolt,stop liquid,364
reservoir,stop liquid,364
seal,stop liquid,364
spring,stop liquid,364
support,stop liquid,364
tube,stop liquid,364
valve,stop liquid,364
wheel,stop liquid,364
blade,store gas,364
cover,store gas,364
electric wire,store gas,364
reservoir,store gas,364
tube,store gas,364
material filter,store liquid,364
reservoir,store liquid,364
reservoir,store liquid,364
system,supply control,364
system,supply electrical,364
system,supply liquid,364
system,supply mechanical,364
system,supply radioactive/nuclear,364
system,supply solid,364
system,supply status,364
electric wire,transfer electrical,364
guiders,transfer electrical,364
solder,transfer electrical,364
spring,transfer electrical,364
shaft,transfer liquid,364
airfoil,transfer mechanical,364
shaft,transfer mechanical,364
bracket,transfer mechanical,364
unclassified,transfer mechanical,364
cover,transfer mechanical,364
cover,transfer mechanical,364
shaft,transfer mechanical,364
unclassified,transfer mechanical,364
fastener,transfer mechanical,364
gear,transfer mechanical,364
guiders,transfer mechanical,364
hinge,transfer mechanical,364
transistor,transfer mechanical,364
link,transfer mechanical,364
nut-bolt,transfer mechanical,364
key,transfer mechanical,364
punch,transfer mechanical,364
rotational coupler,transfer mechanical,364
rotational coupler,transfer mechanical,364
solder,transfer mechanical,364
sprocket,transfer mechanical,364
support,transfer mechanical,364
tube,transfer mechanical,364
wheel,transfer mechanical,364
tube,transfer pneumatic,364
bearing,transfer thermal,364
belt,transfer thermal,364
unclassified,transfer thermal,364
cover,transfer thermal,364
cover,transfer thermal,364
divider,transfer thermal,364
shaft,transfer thermal,364
electric wire,transfer thermal,364
unclassified,transfer thermal,364
gear,transfer thermal,364
housing,transfer thermal,364
material filter,transfer thermal,364
nut-bolt,transfer thermal,364
punch,transfer thermal,364
reservoir,transfer thermal,364
rotational coupler,transfer thermal,364
electric socket,transfer thermal,364
spring,transfer thermal,364
support,transfer thermal,364
tube,transfer thermal,364
wheel,transfer thermal,364
electric switch,actuate control,365
electric switch,actuate electrical,365
gear,change mechanical,365
gear,change mechanical,365
electric motor,convert electrical,365
electric motor,convert electrical,365
electric switch,convert human energy,365
hydraulic piston,convert human energy,365
fan,convert mechanical,365
electric wire,couple solid,365
electric wire,couple solid,365
connector,couple solid,365
connector,couple solid,365
electric cord,couple solid,365
housing,couple solid,365
electric wire,couple solid,365
screw,couple solid,365
rivet,couple solid,365
screw,couple solid,365
screw,couple solid,365
screw,couple solid,365
electric motor,couple solid,365
electric switch,couple solid,365
electric switch,couple solid,365
electric motor,distribute mechanical,365
electric cord,export electrical,365
housing,export human material,365
electric switch,export human material,365
blade,export solid,365
housing,guide human material,365
blade,guide solid,365
guiders,guide solid,365
housing,guide solid,365
gear,guide solid,365
gear,guide solid,365
housing,guide solid,365
guiders,guide solid,365
hydraulic piston,guide solid,365
electric motor,guide solid,365
electric cord,import electrical,365
hydraulic piston,import human energy,365
electric switch,import human energy,365
