comp,func,id
wheel,export thermal,370
unclassified,guide control,370
unclassified,guide electrical,370
unclassified,guide mechanical,370
bearing,guide mechanical,370
belt,guide mechanical,370
cover,guide mechanical,370
cover,guide mechanical,370
divider,guide mechanical,370
shaft,guide mechanical,370
electric motor,guide mechanical,370
electric wire,guide mechanical,370
unclassified,guide mechanical,370
gear,guide mechanical,370
guiders,guide mechanical,370
hinge,guide mechanical,370
link,guide mechanical,370
nut-bolt,guide mechanical,370
punch,guide mechanical,370
rotational coupler,guide mechanical,370
spring,guide mechanical,370
support,guide mechanical,370
electric motor,guide radioactive/nuclear,370
lens,guide radioactive/nuclear,370
airfoil,guide solid,370
unclassified,guide solid,370
bearing,guide solid,370
belt,guide solid,370
blade,guide solid,370
bracket,guide solid,370
cover,guide solid,370
divider,guide solid,370
shaft,guide solid,370
electric motor,guide solid,370
gear,guide solid,370
nut-bolt,guide solid,370
punch,guide solid,370
sprocket,guide solid,370
wheel,guide solid,370
unclassified,guide status,370
transistor,import control,370
electric wire,import control,370
lens,import control,370
unclassified,import electrical,370
electric wire,import electrical,370
guiders,import electrical,370
link,import electrical,370
solder,import electrical,370
spring,import electrical,370
transistor,import radioactive/nuclear,370
airfoil,import solid,370
shaft,import solid,370
bearing,import solid,370
belt,import solid,370
blade,import solid,370
bracket,import solid,370
unclassified,import solid,370
cap,import solid,370
transistor,import solid,370
cover,import solid,370
cover,import solid,370
divider,import solid,370
shaft,import solid,370
electric motor,import solid,370
electric wire,import solid,370
unclassified,import solid,370
fastener,import solid,370
gear,import solid,370
clamp,import solid,370
guiders,import solid,370
hinge,import solid,370
housing,import solid,370
transistor,import solid,370
link,import solid,370
material filter,import solid,370
nut-bolt,import solid,370
key,import solid,370
punch,import solid,370
reservoir,import solid,370
rotational coupler,import solid,370
rotational coupler,import solid,370
screw,import solid,370
seal,import solid,370
electric socket,import solid,370
solder,import solid,370
spring,import solid,370
sprocket,import solid,370
support,import solid,370
reservoir,import solid,370
tube,import solid,370
valve,import solid,370
wheel,import solid,370
airfoil,position solid,370
shaft,position solid,370
bearing,position solid,370
belt,position solid,370
blade,position solid,370
bracket,position solid,370
unclassified,position solid,370
cap,position solid,370
cover,position solid,370
cover,position solid,370
divider,position solid,370
shaft,position solid,370
electric motor,position solid,370
electric wire,position solid,370
unclassified,position solid,370
fastener,position solid,370
gear,position solid,370
clamp,position solid,370
guiders,position solid,370
transistor,position solid,370
link,position solid,370
nut-bolt,position solid,370
key,position solid,370
punch,position solid,370
reservoir,position solid,370
rotational coupler,position solid,370
rotational coupler,position solid,370
screw,position solid,370
electric socket,position solid,370
spring,position solid,370
sprocket,position solid,370
support,position solid,370
reservoir,position solid,370
tube,position solid,370
valve,position solid,370
wheel,position solid,370
airfoil,secure solid,370
shaft,secure solid,370
bearing,secure solid,370
blade,secure solid,370
bracket,secure solid,370
unclassified,secure solid,370
cap,secure solid,370
cover,secure solid,370
cover,secure solid,370
divider,secure solid,370
shaft,secure solid,370
electric wire,secure solid,370
unclassified,secure solid,370
fastener,secure solid,370
gear,secure solid,370
clamp,secure solid,370
guiders,secure solid,370
hinge,secure solid,370
transistor,secure solid,370
link,secure solid,370
nut-bolt,secure solid,370
key,secure solid,370
punch,secure solid,370
reservoir,secure solid,370
rotational coupler,secure solid,370
rotational coupler,secure solid,370
screw,secure solid,370
electric socket,secure solid,370
solder,secure solid,370
spring,secure solid,370
sprocket,secure solid,370
support,secure solid,370
reservoir,secure solid,370
tube,secure solid,370
valve,secure solid,370
wheel,secure solid,370
transistor,sense solid,370
electric switch,sense solid,370
transistor,sense status,370
screw,separate solid,370
wheel,separate solid,370
bearing,stop solid,370
cover,stop solid,370
divider,stop solid,370
housing,stop solid,370
nut-bolt,stop solid,370
screw,stop solid,370
tube,stop solid,370
electric wire,transfer control,370
guiders,transfer control,370
solder,transfer control,370
electric wire,transfer electrical,370
guiders,transfer electrical,370
solder,transfer electrical,370
spring,transfer electrical,370
bearing,transfer thermal,370
belt,transfer thermal,370
unclassified,transfer thermal,370
cover,transfer thermal,370
cover,transfer thermal,370
divider,transfer thermal,370
shaft,transfer thermal,370
electric wire,transfer thermal,370
unclassified,transfer thermal,370
gear,transfer thermal,370
housing,transfer thermal,370
material filter,transfer thermal,370
nut-bolt,transfer thermal,370
punch,transfer thermal,370
reservoir,transfer thermal,370
rotational coupler,transfer thermal,370
electric socket,transfer thermal,370
spring,transfer thermal,370
support,transfer thermal,370
tube,transfer thermal,370
wheel,transfer thermal,370
electric switch,actuate electrical,377
electric switch,actuate electrical,377
electric switch,actuate status,377
electric switch,actuate status,377
reservoir,change mixture,377
system,change solid,377
heating element,convert electrical,377
electric switch,convert human material,377
electric switch,convert thermal,377
electric switch,convert thermal,377
support,couple solid,377
support,couple solid,377
screw,couple solid,377
screw,couple solid,377
reservoir,distribute thermal,377
handle,export human material,377
handle,export human material,377
electric switch,export human material,377
reservoir,export mixture,377
handle,guide human material,377
handle,guide human material,377
electric cord,import electrical,377
handle,import human material,377
handle,import human material,377
electric switch,import human material,377
reservoir,import mixture,377
reservoir,position mixture,377
support,position solid,377
reservoir,position solid,377
assembly,position solid,377
housing,position solid,377
reservoir,position solid,377
support,position solid,377
electric switch,regulate control,377
electric switch,regulate electrical,377
reservoir,secure solid,377
assembly,stop gas,377
assembly,stop olfactory,377
cover,stop thermal,377
assembly,stop thermal,377
cover,stop thermal,377
heating element,transfer electrical,377
electric cord,transfer electrical,377
electric switch,transfer electrical,377
electric switch,transfer electrical,377
electric switch,transfer electrical,377
electric wire,transfer electrical,377
electric wire,transfer electrical,377
electric wire,transfer electrical,377
reservoir,transfer thermal,377
assembly,transfer thermal,377
reservoir,transfer thermal,377
electric switch,actuate control,382
electric switch,actuate control,382
electric switch,actuate electrical,382
electric switch,actuate electrical,382
electric motor,convert electrical,382
lever,convert human energy,382
sled,convert human energy,382
fan,convert mechanical,382
thermostat,couple solid,382
electric wire,couple solid,382
electric wire,couple solid,382
electric switch,couple solid,382
electric wire,couple solid,382
heating element,couple solid,382
support,couple solid,382
housing,couple solid,382
electric wire,couple solid,382
electric cord,couple solid,382
electric wire,couple solid,382
housing,couple solid,382
rivet,couple solid,382
fuse,couple solid,382
screw,couple solid,382
electric wire,couple solid,382
electric switch,couple solid,382
electric wire,couple solid,382
electric wire,couple solid,382
electric wire,couple solid,382
housing,export gas,382
lever,export human material,382
housing,export human material,382
sled,export human material,382
material filter,guide gas,382
heating element,guide gas,382
fan,guide gas,382
unclassified,guide gas,382
housing,guide gas,382
housing,guide human material,382
lever,guide solid,382
sled,guide solid,382
housing,guide solid,382
sled,guide solid,382
sled,guide solid,382
electric cord,import electrical,382
material filter,import gas,382
lever,import human material,382
housing,import human material,382
sled,import human material,382
lever,position solid,382
electric switch,position solid,382
sled,position solid,382
support,position solid,382
housing,position solid,382
unclassified,position solid,382
housing,position solid,382
housing,position solid,382
electric cord,position solid,382
housing,position solid,382
housing,position solid,382
spring,position solid,382
support,position solid,382
electric switch,position solid,382
sled,position solid,382
sled,position solid,382
thermostat,regulate electrical,382
cap,secure solid,382
support,secure solid,382
material filter,secure solid,382
housing,secure solid,382
housing,secure solid,382
support,secure solid,382
support,secure solid,382
fan,secure solid,382
electric motor,secure solid,382
housing,secure solid,382
electric cord,secure solid,382
housing,secure solid,382
support,secure solid,382
electric switch,secure solid,382
material filter,stop solid,382
housing,stop solid,382
sled,transfer control,382
sled,transfer control,382
electric wire,transfer electrical,382
electric wire,transfer electrical,382
electric wire,transfer electrical,382
heating element,transfer electrical,382
electric motor,transfer electrical,382
electric wire,transfer electrical,382
electric cord,transfer electrical,382
electric wire,transfer electrical,382
fuse,transfer electrical,382
electric switch,transfer electrical,382
electric wire,transfer electrical,382
electric wire,transfer electrical,382
electric wire,transfer electrical,382
system,transfer gas,382
circuit board,actuate control,384
assembly,actuate electrical,384
assembly,actuate electrical,384
circuit board,actuate magnetic,384
assembly,actuate mechanical,384
circuit board,change electrical,384
heating element,change solid,384
assembly,change solid,384
reservoir,contain solid,384
assembly,contain solid,384
circuit board,convert control,384
circuit board,convert electrical,384
heating element,convert electrical,384
circuit board,convert human energy,384
assembly,convert human energy,384
housing,couple solid,384
cover,couple solid,384
circuit board,couple solid,384
cover,couple solid,384
circuit board,couple solid,384
electric cord,couple solid,384
screw,couple solid,384
electric wire,couple solid,384
circuit board,distribute electrical,384
assembly,distribute human energy,384
assembly,export human material,384
knob,export human material,384
knob,export human material,384
assembly,export human material,384
circuit board,export magnetic,384
assembly,export mechanical,384
housing,export solid,384
assembly,export solid,384
circuit board,export status,384
heating element,export thermal,384
housing,guide solid,384
assembly,guide solid,384
reservoir,guide solid,384
knob,guide solid,384
knob,guide solid,384
cover,guide solid,384
assembly,guide solid,384
cover,guide solid,384
electric cord,import electrical,384
assembly,import human energy,384
knob,import human energy,384
knob,import human energy,384
assembly,import human energy,384
assembly,import human material,384
knob,import human material,384
knob,import human material,384
assembly,import human material,384
housing,import solid,384
assembly,import solid,384
assembly,position solid,384
cover,position solid,384
knob,position solid,384
knob,position solid,384
circuit board,position solid,384
cover,position solid,384
circuit board,process control,384
housing,secure solid,384
assembly,secure solid,384
heating element,secure solid,384
assembly,secure solid,384
housing,stabilize solid,384
assembly,store mechanical,384
system,supply solid,384
cover,transfer human energy,384
electric switch,actuate control,392
electric switch,actuate electrical,392
heating element,convert electrical,392
lever,convert human energy,392
housing,couple solid,392
cover,couple solid,392
support,couple solid,392
support,couple solid,392
handle,couple solid,392
handle,couple solid,392
heating element,couple solid,392
cover,couple solid,392
nut-bolt,couple solid,392
nut-bolt,couple solid,392
nut-bolt,couple solid,392
nut-bolt,couple solid,392
nut-bolt,couple solid,392
nut-bolt,couple solid,392
reservoir,couple solid,392
electric wire,couple solid,392
electric wire,couple solid,392
screw,couple solid,392
screw,couple solid,392
electric wire,couple solid,392
electric switch,couple solid,392
electric wire,couple solid,392
electric wire,couple solid,392
electric wire,couple solid,392
handle,export human material,392
handle,export human material,392
reservoir,export mixture,392
lever,guide solid,392
housing,guide solid,392
cover,guide solid,392
electric cord,import electrical,392
lever,import human energy,392
handle,import human material,392
handle,import human material,392
reservoir,import mixture,392
handle,position human material,392
handle,position human material,392
housing,position solid,392
cover,position solid,392
support,position solid,392
support,position solid,392
support,position solid,392
heating element,position solid,392
cover,position solid,392
reservoir,position solid,392
electric cord,position solid,392
electric switch,position solid,392
lever,secure solid,392
electric cord,secure solid,392
electric wire,secure solid,392
electric wire,secure solid,392
support,secure solid,392
electric switch,secure solid,392
housing,stabilize mechanical,392
cover,stop thermal,392
reservoir,store mixture,392
system,store mixture,392
heating element,transfer electrical,392
electric cord,transfer electrical,392
electric wire,transfer electrical,392
electric wire,transfer electrical,392
electric wire,transfer electrical,392
electric wire,transfer electrical,392
electric wire,transfer electrical,392
reservoir,transfer thermal,392
circuit board,actuate electrical,393
cover,actuate solid-liquid,393
valve,actuate solid-liquid,393
circuit board,actuate status,393
heating element,change solid-liquid,393
system,contain electrical,393
system,contain human energy,393
system,contain human material,393
system,contain liquid,393
system,contain thermal,393
heating element,convert electrical,393
circuit board,convert human energy,393
screw,couple solid,393
screw,couple solid,393
reservoir,couple solid,393
housing,couple solid,393
screw,couple solid,393
belt,couple solid,393
handle,couple solid,393
screw,couple solid,393
clamp,couple solid,393
housing,couple solid,393
screw,couple solid,393
bracket,couple solid,393
screw,couple solid,393
cover,couple solid,393
circuit board,couple solid,393
screw,couple solid,393
bracket,couple solid,393
screw,couple solid,393
mechanical transformer,couple solid,393
screw,couple solid,393
reservoir,distribute thermal,393
thermal plate,distribute thermal,393
container,export solid,393
cover,export solid,393
reservoir,guide solid,393
handle,guide solid,393
cover,guide solid,393
seal,guide solid,393
spring,guide solid,393
thermal plate,guide solid,393
nozzle,guide solid,393
bracket,guide solid,393
tube,guide solid,393
electric wire,import electrical,393
housing,import human energy,393
cover,import solid,393
cover,import solid-liquid,393
container,mix solid-liquid,393
housing,position solid,393
container,position solid,393
reservoir,position solid,393
reservoir,position solid,393
cover,position solid,393
clamp,position solid,393
housing,position solid,393
cover,position solid,393
valve,position solid,393
seal,position solid,393
spring,position solid,393
heating element,position solid,393
bracket,position solid,393
thermal plate,position solid,393
seal,position solid,393
cover,position solid,393
electric wire,position solid,393
tube,position solid,393
seal,position solid,393
reservoir,secure solid,393
belt,secure solid,393
reservoir,secure solid,393
handle,secure solid,393
valve,secure solid,393
seal,secure solid,393
heating element,secure solid,393
electric wire,secure solid,393
circuit board,secure solid,393
mechanical transformer,secure solid,393
tube,secure solid,393
tube,secure solid,393
container,separate solid-liquid,393
container,store solid,393
reservoir,store solid-liquid,393
reservoir,store solid-liquid,393
tube,store solid-liquid,393
circuit board,store status,393
electric wire,supply electrical,393
mechanical transformer,supply electrical,393
nozzle,transfer solid-liquid,393
tube,transfer solid-liquid,393
tube,transfer solid-liquid,393
heating element,transfer thermal,393
thermal plate,transfer thermal,393
electric switch,actuate electrical,394
cover,actuate solid-liquid,394
seal,actuate solid-liquid,394
heating element,change solid-liquid,394
system,contain electrical,394
system,contain human energy,394
system,contain human material,394
system,contain liquid,394
system,contain thermal,394
heating element,convert electrical,394
electric switch,convert human energy,394
handle,convert human energy,394
screw,couple solid,394
housing,couple solid,394
housing,couple solid,394
screw,couple solid,394
belt,couple solid,394
handle,couple solid,394
screw,couple solid,394
support,couple solid,394
clamp,couple solid,394
screw,couple solid,394
heating element,couple solid,394
bracket,couple solid,394
